Site Code,Site Name,Country,Continent,Start Time,Day,Date,Time Step,Wind Direction,Wind Speed,Screen Temperature,Significant Weather,Relative Humidity,Visibility Range,Visibility Description,Wind Gust,Feels Like Temperature,UV Index,Precipitation Probability
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",120,"ENE",6,0,"(White) Medium-level cloud",88,"< 20000 m","Good",13,-3,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",117,"ENE",7,2,"(White) Medium-level cloud",79,"< 20000 m","Good",15,-1,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",114,"ENE",8,4,"(White) Medium-level cloud",70,"< 40000 m","Very good",19,0,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",111,"ENE",9,5,"Light rain shower (Day)",67,"< 20000 m","Good",20,1,1,40
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",108,"NE",8,4,"(White) Medium-level cloud",59,"< 40000 m","Very good",18,1,2,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",105,"NNE",8,2,"(White) Medium-level cloud",77,"< 40000 m","Very good",16,-2,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",102,"NNE",7,0,"(White) Medium-level cloud",88,"< 20000 m","Good",15,-4,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",99,"NNE",7,0,"(Black) Low-level cloud",87,"< 20000 m","Good",16,-4,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",96,"NNE",8,0,"(White) Medium-level cloud",84,"< 40000 m","Very good",17,-3,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",93,"NE",9,1,"(White) Medium-level cloud",77,"< 40000 m","Very good",20,-2,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Tuesday","2013-03-26",90,"NE",11,3,"(Black) Low-level cloud",71,"< 10000 m","Moderate",23,-1,1,20
